geo_shape;osm_id;couvert;capacite;nom;acces;payant;surveille;type;notes;Lat;Lon
"{""type"": ""MultiPoint"", ""coordinates"": [[2.124573374441236, 48.76823649974983]]}";w63020448;OUI;0;;public;NON;NON;inconnu;;48.7682364997;2.12457337444
"{""type"": ""MultiPoint"", ""coordinates"": [[2.1906563, 48.69905559976696]]}";n3437169028;NON;4;;public;NON;NON;arceaux;;48.6990555998;2.1906563
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2165185, 48.84543389973066]]}";n6093832275;NON;10;;public;NON;NON;arceaux;;48.8454338997;2.2165185
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3438507, 48.84457499973087]]}";n5230437964;NON;38;;public;NON;NON;inconnu;;48.8445749997;2.3438507
"{""type"": ""MultiPoint"", ""coordinates"": [[1.7169639, 48.99078699969459]]}";n7146409172;NON;2;;public;NON;NON;arceaux;;48.9907869997;1.7169639
"{""type"": ""MultiPoint"", ""coordinates"": [[2.4873792, 48.79690329974269]]}";n6731028441;NON;24;;public;NON;NON;arceaux;;48.7969032997;2.4873792
"{""type"": ""MultiPoint"", ""coordinates"": [[2.0628177, 48.76358799975095]]}";n5664200239;NON;5;;public;NON;NON;ratelier;;48.7635879998;2.0628177
"{""type"": ""MultiPoint"", ""coordinates"": [[2.384117, 48.84315149973119]]}";n5686044197;NON;6;;public;NON;NON;arceaux;;48.8431514997;2.384117
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3462061, 48.830616699734335]]}";n4029991657;NON;12;;public;NON;NON;arceaux;;48.8306166997;2.3462061
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3127785, 48.836667799732815]]}";n2409286683;NON;10;;public;NON;NON;arceaux;;48.8366677997;2.3127785
